",stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed"
"188,4.2,""22,155 Ratings "",20% off,""â‚¹14,990"",Whirlpool,5,7 kg,740 rpm"
"189,4.3,""14,730 Ratings "",28% off,""â‚¹14,990"",Voltas Beko,5,12 kg,1350 rpm"
"190,4.4,""27,218 Ratings "",23% off,""â‚¹15,990"",Whirlpool,5,10 kg,1400 RPM"
"191,4.3,""14,730 Ratings "",36% off,""â‚¹7,990"",Voltas Beko,5,6.5 kg,1350 rpm"
"192,4.4,""1,197 Ratings "",26% off,""â‚¹16,125"",Whirlpool,5,11 kg,1400 rpm"
"193,4.3,""86,950 Ratings "",23% off,""â‚¹47,990"",IFB,5,10 kg,1400 RPM"
"194,4.4,""40,687 Ratings "",31% off,""â‚¹9,990"",LG,5,6 kg,1300 rpm"
"195,4.1,524 Ratings ,58% off,""â‚¹7,690"",FOXSKY,5,8.5 kg,1300 rpm"
"196,4.3,""14,860 Ratings "",11% off,""â‚¹15,775"",Whirlpool,5,6 kg,740 rpm"
"197,4.4,""5,476 Ratings "",26% off,""â‚¹24,990"",LG,5,6.5 kg,1000 rpm"
"198,4.3,""8,993 Ratings "",20% off,""â‚¹19,190"",SAMSUNG,5,7 kg,700 rpm"
"199,4.2,""6,171 Ratings "",25% off,""â‚¹13,290"",Godrej,5,6.5 kg,720 rpm"
"200,4.3,""70,731 Ratings "",16% off,""â‚¹17,490"",LG,5,7 kg,700 rpm"
"201,4.4,""4,496 Ratings "",35% off,""â‚¹34,990"",LG,5,9 Kg,1200 RPM"
"202,4.2,""1,485 Ratings "",32% off,""â‚¹18,150"",Whirlpool,5,7.5 kg,740 rpm"
"203,3.8,66 Ratings ,47% off,""â‚¹20,990"",TCL,5,7.5 kg,1400 rpm"
"204,4.5,75 Ratings ,30% off,""â‚¹6,990"",Midea,5,6.5 kg,1300 RPM"
"205,4.2,""1,790 Ratings "",42% off,""â‚¹10,990"",MarQ by Flipkart,5,6.5 kg,700 rpm"
"206,4.1,524 Ratings ,56% off,""â‚¹7,199"",FOXSKY,5,7.5 kg,1300 rpm"
"207,4.2,""2,527 Ratings "",39% off,""â‚¹30,990"",BOSCH,5,7 kg,1200 RPM"
"208,4.3,""1,165 Ratings "",35% off,""â‚¹11,490"",Lloyd,5,8 kg,1300 rpm"
"209,4.3,""8,264 Ratings "",40% off,""â‚¹9,490"",MOTOROLA,5,8 kg,1350 rpm"
"210,4.3,""2,548 Ratings "",36% off,""â‚¹11,990"",Haier,5,9 kg,1300 rpm"
"211,4.3,""86,950 Ratings "",25% off,""â‚¹44,690"",IFB,5,9 kg,1400 RPM"
"212,4.2,""1,170 Ratings "",37% off,""â‚¹37,990"",SAMSUNG,5,9 kg,1400 rpm"
"213,4.4,""27,218 Ratings "",22% off,""â‚¹16,990"",Whirlpool,5,11 kg,1400 RPM"
"214,4.1,""3,208 Ratings "",30% off,""â‚¹13,790"",Godrej,5,7 kg,720 RPM"
"215,4.1,""19,754 Ratings "",26% off,""â‚¹10,999"",Thomson,5,10 kg,1400 RPM"
"216,4.2,""2,527 Ratings "",40% off,""â‚¹29,990"",BOSCH,5,7 kg,1200 rpm"
"217,4.3,""1,258 Ratings "",28% off,""â‚¹35,990"",Haier,5,9 kg,1400 rpm"
"218,4.3,""2,548 Ratings "",40% off,""â‚¹11,290"",Haier,5,8 Kg,1300 rpm"
"219,4.3,""15,074 Ratings "",36% off,""â‚¹34,990"",SAMSUNG,5,9 kg,1400 rpm"
"220,4.3,""1,258 Ratings "",29% off,""â‚¹32,990"",Haier,5,8 kg,1200 rpm"
"221,4,158 Ratings ,58% off,""â‚¹14,990"",TCL,5,9.5 kg,1400 rpm"
"222,4,158 Ratings ,57% off,""â‚¹13,990"",TCL,4,8.5 kg,1200 rpm"
"223,4.4,58 Ratings ,25% off,""â‚¹27,490"",Panasonic,5,7 kg,1400 rpm"
"224,4.3,""2,548 Ratings "",30% off,""â‚¹14,990"",Haier,5,9 kg,1300 rpm"
"225,4.3,""2,548 Ratings "",32% off,""â‚¹16,490"",Haier,5,11 kg,1300 RPM"
"226,4.2,57 Ratings ,26% off,""â‚¹29,990"",Panasonic,5,8 kg,1400 rpm"
"227,4.3,""2,548 Ratings "",31% off,""â‚¹15,990"",Haier,5,10 kg,1300 rpm"
"228,4,191 Ratings ,43% off,""â‚¹13,940"",Whirlpool,5,9 kg,1400 rpm"
"229,4.3,""3,789 Ratings "",30% off,""â‚¹11,790"",Godrej,5,8 kg,1440 rpm"
"230,4.2,""41,167 Ratings "",37% off,""â‚¹16,990"",ONIDA,5,8 kg,700 rpm"
"231,3.9,,25% off,""â‚¹37,800"",SAMSUNG,5,7 kg,1200 RPM"
"232,4.3,""1,165 Ratings "",25% off,""â‚¹16,490"",Lloyd,5,11 kg,1300 RPM"
"233,4.3,""15,074 Ratings "",16% off,""â‚¹43,990"",SAMSUNG,5,12 kg,1400 RPM"
"234,4.3,""79,969 Ratings "",16% off,""â‚¹30,990"",SAMSUNG,5,10 kg,700 rpm"
"235,4.5,""5,680 Ratings "",20% off,""â‚¹17,490"",LG,5,10 kg,1300 rpm"
"236,4.3,""12,467 Ratings "",38% off,""â‚¹14,490"",Panasonic,5,6.5 kg,700 rpm"
"237,4.3,""15,074 Ratings "",31% off,""â‚¹39,990"",SAMSUNG,5,9 kg,1400 rpm"
"238,4.3,""1,165 Ratings "",39% off,""â‚¹8,999"",Lloyd,5,7 kg,1400 rpm"
"239,4.1,""8,296 Ratings "",57% off,""â‚¹24,490"",MOTOROLA,5,10.5 kg,1400 rpm"
"240,4.3,""15,074 Ratings "",25% off,""â‚¹37,990"",SAMSUNG,5,9 kg,1400 rpm"
"241,4.5,19 Ratings ,30% off,""â‚¹13,990"",Godrej,5,10 kg,1400 rpm"
"242,4.3,""54,410 Ratings "",45% off,""â‚¹8,190"",MarQ by Flipkart,5,7.5 kg,1350 rpm"
"243,4.3,""54,410 Ratings "",32% off,""â‚¹6,790"",MarQ by Flipkart,5,6 kg,1350 RPM"
"244,4.1,""1,255 Ratings "",57% off,""â‚¹24,990"",realme TechLife,5,10 kg,1400 RPM"
"245,4.2,82 Ratings ,30% off,""â‚¹27,500"",BOSCH,5,8 kg,680 RPM"
"246,4.1,""2,236 Ratings "",24% off,""â‚¹5,650"",Voltas Beko,7.5 kg,Pulsator,No"
"247,4.4,44 Ratings ,20% off,""â‚¹41,990"",SAMSUNG,5,8 kg,1400 rpm"
"248,4.3,""15,074 Ratings "",37% off,""â‚¹34,990"",SAMSUNG,5,8 kg,1400 rpm"
"249,3.9,,26% off,""â‚¹44,999"",SAMSUNG,5,12 kg,1400 RPM"
"250,4,776 Ratings ,50% off,""â‚¹25,490"",Voltas Beko,5,8 kg,1200 rpm"
"251,4.3,""14,730 Ratings "",33% off,""â‚¹14,990"",Voltas Beko,5,12 Kg,1350 rpm"
"252,,,26% off,""â‚¹45,345"",SAMSUNG,5,9 kg,1400 RPM"
"253,4.1,""19,754 Ratings "",25% off,""â‚¹9,999"",Thomson,5,8.5 kg,1400 RPM"
"254,4.5,""5,015 Ratings "",21% off,""â‚¹16,490"",LG,5,8.5 kg,1300 rpm"
"255,4.2,485 Ratings ,31% off,""â‚¹14,690"",Godrej,5,8 kg,1400 rpm"
"256,4.4,32 Ratings ,27% off,""â‚¹24,990"",IFB,5,6 kg,1000 rpm"
"257,4,776 Ratings ,44% off,""â‚¹24,290"",Voltas Beko,5,7 kg,1200 rpm"
"258,4.3,""9,146 Ratings "",22% off,""â‚¹10,390"",Whirlpool,5,7 kg,1400 rpm"
"259,4.4,7 Ratings ,25% off,""â‚¹26,990"",IFB,5,6.5 kg,1000 rpm"
"260,4.4,""4,393 Ratings "",27% off,""â‚¹9,190"",Whirlpool,5,6 kg,1400 rpm"
"261,4.3,""12,467 Ratings "",17% off,""â‚¹13,790"",Panasonic,4,6 kg,680 rpm"
"262,4.3,959 Ratings ,32% off,""â‚¹24,990"",LG,5,9 kg,700 rpm"
"263,4.3,""12,467 Ratings "",17% off,""â‚¹13,790"",Panasonic,4,6 kg,680 rpm"
"264,4.3,959 Ratings ,32% off,""â‚¹24,990"",LG,5,9 kg,700 rpm"
"265,,,24% off,""â‚¹42,990"",SAMSUNG,5,12 kg,1400 RPM"
"266,4.4,""4,496 Ratings "",27% off,""â‚¹49,990"",LG,9 kg,Tumble,Yes"
"267,4.2,91 Ratings ,33% off,""â‚¹10,990"",BOSCH,7.5 kg,Pulsator,No"
"268,4.3,123 Ratings ,33% off,""â‚¹11,990"",BOSCH,8 kg,Pulsator,No"
"269,4.2,485 Ratings ,37% off,""â‚¹13,504"",Godrej,5,8 kg,1440 RPM"
"270,4.3,""3,084 Ratings "",26% off,""â‚¹27,990"",BOSCH,5,7 kg,1000 rpm"
"271,4.1,536 Ratings ,41% off,""â‚¹29,990"",Godrej,5,8 kg,1200 RPM"
"272,4.3,""70,731 Ratings "",28% off,""â‚¹19,990"",LG,5,8 kg,700 rpm"
"273,4.3,""54,410 Ratings "",45% off,""â‚¹9,790"",MarQ by Flipkart,5,9 kg,1350 rpm"
"274,4,3 Ratings ,7% off,""â‚¹12,790"",LG,5,6 kg,1300 RPM"
"275,4.3,""1,297 Ratings "",13% off,""â‚¹21,699"",BOSCH,5,7 kg,680 rpm"
"276,,,22% off,""â‚¹42,089"",SAMSUNG,5,12 kg,1400 RPM"
"277,4,""1,010 Ratings "",28% off,""â‚¹8,890"",ONIDA,7 kg,Pulsator,No"
"278,4.2,903 Ratings ,56% off,""â‚¹18,490"",Voltas Beko,5,9 kg,700 rpm"
"279,4.1,434 Ratings ,22% off,""â‚¹23,490"",Whirlpool,5,9 kg,740 rpm"
"280,4.4,""9,155 Ratings "",17% off,""â‚¹28,990"",BOSCH,5,6.5 kg,1000 rpm"
"281,4.3,""14,860 Ratings "",21% off,""â‚¹16,990"",Whirlpool,5,7 kg,740 RPM"
"282,4.3,""79,969 Ratings "",28% off,""â‚¹23,334"",SAMSUNG,5,10 kg,700 rpm"
"283,4.2,""1,008 Ratings "",65% off,""â‚¹8,590"",InnoQ,5,9.5 kg,1500 rpm"
"284,4.3,""79,969 Ratings "",31% off,""â‚¹24,000"",SAMSUNG,5,9 kg,700 rpm"
"285,4.1,995 Ratings ,21% off,""â‚¹30,990"",Whirlpool,5,8 kg,1400 RPM"
"286,4.4,371 Ratings ,31% off,""â‚¹17,090"",SAMSUNG,5,11.5 kg,1300 rpm"
"287,4.2,""2,527 Ratings "",26% off,""â‚¹45,490"",BOSCH,5,10 kg,1200 RPM"
"288,4.2,""1,780 Ratings "",47% off,""â‚¹11,490"",MOTOROLA,5,7 kg,700 rpm"
"289,4.3,""16,986 Ratings "",28% off,""â‚¹9,719"",Intex,7.5 kg,Pulsator,No"
"290,4.1,""19,754 Ratings "",26% off,""â‚¹8,499"",Thomson,5,7 kg,1400 RPM"
"291,4.2,""10,345 Ratings "",24% off,""â‚¹10,290"",ONIDA,5,8 kg,1450 rpm"
"292,4.3,""1,165 Ratings "",33% off,""â‚¹8,990"",Lloyd,5,6.5 kg,1400 rpm"
"293,4.4,""10,137 Ratings "",14% off,""â‚¹26,490"",BOSCH,5,6 kg,800 rpm"
"294,4.3,""54,410 Ratings "",44% off,""â‚¹9,990"",MarQ by Flipkart,5,10 kg,1350 rpm"
"295,4.3,93 Ratings ,20% off,""â‚¹35,490"",LG,5,7 kg,1200 rpm"
"296,4.3,""3,789 Ratings "",31% off,""â‚¹9,490"",Godrej,5,7 kg,1400 rpm"
"297,4.1,""19,754 Ratings "",28% off,""â‚¹8,999"",Thomson,5,8.5 kg,1400 RPM"
"298,4.4,80 Ratings ,27% off,""â‚¹15,899"",LG,5,10 kg,1200 RPM"
"299,4.4,""8,806 Ratings "",34% off,""â‚¹33,990"",BOSCH,5,8 kg,1400 rpm"
"300,4,776 Ratings ,50% off,""â‚¹26,990"",Voltas Beko,5,8 kg,1200 rpm"
"301,4.2,91 Ratings ,35% off,""â‚¹12,990"",BOSCH,5,8.5 kg,1360 rpm"
"302,4.2,91 Ratings ,32% off,""â‚¹12,490"",BOSCH,5,8 kg,1360 RPM"
"303,4.2,""1,008 Ratings "",63% off,""â‚¹6,989"",InnoQ,5,7.5 kg,1500 rpm"
"304,4.1,524 Ratings ,55% off,""â‚¹8,990"",FOXSKY,5,8 kg,1450 rpm"
"305,4.2,91 Ratings ,34% off,""â‚¹13,490"",BOSCH,5,9 kg,1360 rpm"
"306,3.7,3 Ratings ,23% off,""â‚¹15,670"",SAMSUNG,5,10.5 kg,1300 rpm"
"307,4,158 Ratings ,50% off,""â‚¹11,490"",TCL,5,6.5 kg,700 rpm"
"308,4.2,91 Ratings ,34% off,""â‚¹11,990"",BOSCH,5,8 kg,1360 rpm"
"309,3.2,6 Ratings ,27% off,""â‚¹14,999"",Whirlpool,5,7 kg,740 rpm"
"310,4.4,558 Ratings ,30% off,""â‚¹11,999"",LG,5,7.5 kg,1300 RPM"
"311,4.3,""5,607 Ratings "",30% off,""â‚¹8,990"",Panasonic,5,6.5 kg,1350 rpm"
"312,4.1,""1,634 Ratings "",35% off,""â‚¹12,990"",Midea,5,7 kg,680 rpm"
"313,4.1,""2,455 Ratings "",33% off,""â‚¹16,840"",Whirlpool,5,7.5 kg,740 rpm"
"314,4.4,""4,496 Ratings "",26% off,""â‚¹48,490"",LG,5,11 kg,1400 rpm"
"315,4.3,540 Ratings ,37% off,""â‚¹29,990"",SAMSUNG,5,7 kg,1000 rpm"
"316,4.2,""41,167 Ratings "",38% off,""â‚¹14,290"",ONIDA,5,7.5 kg,750 rpm"
"317,4.2,""28,947 Ratings "",,""â‚¹5,850"",ONIDA,7 kg,Pulsator Wash,No"
"318,4.3,""21,423 Ratings "",22% off,""â‚¹32,390"",IFB,5,10 kg,720 RPM"
"319,4.3,959 Ratings ,32% off,""â‚¹28,990"",LG,5,10 kg,700 rpm"
"320,4.3,""14,543 Ratings "",27% off,""â‚¹15,950"",Whirlpool,5,7.5 kg,740 rpm"
"321,4.3,""14,543 Ratings "",8% off,""â‚¹18,490"",Whirlpool,5,7 kg,740 rpm"
"322,4.3,""3,789 Ratings "",30% off,""â‚¹17,998"",Godrej,5,12 Kg,750 rpm"
"323,4.4,""4,496 Ratings "",29% off,""â‚¹35,900"",LG,5,8 kg,1200 rpm"
"324,4.2,""1,008 Ratings "",65% off,""â‚¹8,590"",InnoQ,5,9.5 kg,1500 rpm"
"325,4.3,""86,950 Ratings "",26% off,""â‚¹39,990"",IFB,5,9 kg,1400 rpm"
"326,4.2,""10,345 Ratings "",15% off,""â‚¹11,499"",ONIDA,5,8 kg,1450 rpm"
"327,3.8,8 Ratings ,32% off,""â‚¹18,990"",LG,5,7.5 kg,740 rpm"
"328,4.5,609 Ratings ,19% off,""â‚¹11,699"",LG,5,7 kg,1350 RPM"
"329,4.7,79 Ratings ,22% off,""â‚¹18,990"",LG Electronics,5,10.5 kg,1350 rpm"
"330,4.5,609 Ratings ,26% off,""â‚¹11,749"",LG,5,7 kg,1350 RPM"
"331,4.1,195 Ratings ,18% off,""â‚¹26,000"",SAMSUNG,5,8 kg,700 rpm"
"332,4.2,82 Ratings ,26% off,""â‚¹23,500"",BOSCH,5,8 kg,680 RPM"
"333,4.2,82 Ratings ,26% off,""â‚¹23,500"",BOSCH,5,8 kg,680 RPM"
"334,4.4,672 Ratings ,14% off,""â‚¹39,990"",IFB,5,9 kg,1400 rpm"
"335,4.3,""12,467 Ratings "",31% off,""â‚¹17,190"",Panasonic,5,7 kg,1380 rpm"
"336,4.1,45 Ratings ,28% off,""â‚¹9,990"",Whirlpool,5,7 kg,1400 RPM"
"337,4.3,730 Ratings ,39% off,""â‚¹30,490"",BOSCH,5,7 kg,1000 rpm"
"338,4.3,73 Ratings ,43% off,""â‚¹17,490"",Haier,5,7 kg,800 RPM"
"339,4.3,""21,423 Ratings "",17% off,""â‚¹16,890"",IFB,5,6.5 kg,720 rpm"
"340,4.1,86 Ratings ,38% off,""â‚¹5,499"",Reliance,7.5 kg,New Triple Wave Pulsator,No"
"341,4.1,524 Ratings ,,""â‚¹9,200"",FOXSKY,5,11 kg,1500 rpm"
"342,4.1,536 Ratings ,45% off,""â‚¹25,390"",Godrej,5,7 kg,1000 rpm"
"343,4.1,537 Ratings ,9% off,""â‚¹21,690"",IFB,5,5.5 Kg,Yes"
"344,3.9,243 Ratings ,22% off,""â‚¹54,990"",IFB,5,8.5 kg,1400 rpm"
"345,4.2,91 Ratings ,32% off,""â‚¹12,490"",BOSCH,5,8 kg,1360 rpm"
"346,4.3,""79,969 Ratings "",25% off,""â‚¹15,990"",SAMSUNG,5,6.5 kg,700 rpm"
"347,4.1,""19,754 Ratings "",30% off,""â‚¹12,499"",Thomson,12 kg,Pulsator,No"
"348,4.2,""41,167 Ratings "",40% off,""â‚¹11,990"",ONIDA,5,6.5 kg,700 rpm"
"349,4.3,65 Ratings ,26% off,""â‚¹38,990"",LG,5,8 kg,1400 rpm"
"350,4.4,70 Ratings ,26% off,""â‚¹12,890"",SAMSUNG,5,8 kg,1300 RPM"
"351,4.3,""86,950 Ratings "",27% off,""â‚¹46,990"",IFB,5,10 kg,1400 RPM"
"352,4.1,524 Ratings ,56% off,""â‚¹8,740"",FOXSKY,5,9.5 kg,1490 rpm"
"353,4,""1,897 Ratings "",37% off,""â‚¹4,990"",Thomson,7 kg,Pulsator,No"
"354,4.1,""8,296 Ratings "",33% off,""â‚¹26,690"",MOTOROLA,5,6.5 kg,1000 rpm"
"355,4.5,75 Ratings ,17% off,""â‚¹17,490"",Whirlpool,5,11 kg,1400 rpm"
"356,4.2,""13,077 Ratings "",44% off,""â‚¹19,490"",realme TechLife,5,11 kg,700 rpm"
"357,4.4,""39,827 Ratings "",8% off,""â‚¹9,090"",SAMSUNG,5,6 kg,1300 rpm"
"358,4.2,""5,235 Ratings "",31% off,""â‚¹12,990"",Thomson,5,8.5 kg,840 RPM"
"359,4.4,194 Ratings ,20% off,""â‚¹13,000"",SAMSUNG,5,7.5 kg,1300 rpm"
"360,4.3,629 Ratings ,16% off,""â‚¹27,160"",Whirlpool,7.5 kg,Hexa Bloom Impeller Wash,Yes"
"361,4.2,""15,648 Ratings "",36% off,""â‚¹10,150"",Sansui,5,8.5 kg,1350 rpm"
"362,4.1,115 Ratings ,48% off,""â‚¹7,990"",TCL,5,7 kg,1400 RPM"
"363,4.4,""2,663 Ratings "",43% off,""â‚¹13,480"",Voltas Beko,5,9 kg,1350 rpm"
"364,4.4,""5,584 Ratings "",29% off,""â‚¹11,999"",Whirlpool,8 kg,Impeller Wash,No"
"365,4.3,""1,204 Ratings "",24% off,""â‚¹26,500"",IFB,5,7 kg,1000 RPM"
"366,3.9,11 Ratings ,28% off,""â‚¹25,500"",BOSCH,5,8 kg,680 RPM"
"367,4,776 Ratings ,43% off,""â‚¹21,900"",Voltas Beko,6.5 kg,Tumble Wash,Yes"
"368,4.1,179 Ratings ,20% off,""â‚¹16,249"",Whirlpool,5,7 kg,740 RPM"
"369,3.9,135 Ratings ,22% off,""â‚¹13,237"",LG,5,7.5 kg,1300 RPM"
"370,3.8,66 Ratings ,41% off,""â‚¹19,990"",TCL,5,6.5 kg,1200 rpm"
"371,4.3,""86,950 Ratings "",16% off,""â‚¹25,990"",IFB,5,6.5 kg,1000 rpm"
"372,4.3,""2,851 Ratings "",17% off,""â‚¹14,490"",Whirlpool,5,8.5 kg,1450 rpm"
"373,3.5,10 Ratings ,25% off,""â‚¹26,440"",IFB,5,9 kg,720 rpm"
"374,4.3,""54,410 Ratings "",43% off,""â‚¹9,590"",MarQ by Flipkart,5,8.5 kg,1350 rpm"
"375,4.3,""2,758 Ratings "",23% off,""â‚¹18,798"",Whirlpool,5,6.5 kg,740 rpm"
"376,4.2,""1,790 Ratings "",10% off,""â‚¹21,478"",MarQ by Flipkart,8.5 kg,Pulsator Wash,No"
"377,4.5,4 Ratings ,15% off,""â‚¹21,100"",SAMSUNG,5,7 kg,700 rpm"
"378,4.4,608 Ratings ,19% off,""â‚¹13,400"",Godrej,8 kg,Pulsator,No"
"379,4.4,165 Ratings ,21% off,""â‚¹14,800"",SAMSUNG,5,8.5 kg,1300 rpm"
"380,4,231 Ratings ,39% off,""â‚¹16,990"",Godrej,5,7.5 Kg,750 rpm"
"381,,,22% off,""â‚¹23,349"",Whirlpool,5,8.5 kg,740 RPM"
"382,3.9,27 Ratings ,41% off,""â‚¹11,199"",Voltas Beko,5,8 kg,1300 rpm"
